trade_date,close,vol,amount,momentum_20d,vwap_dev_20d,obi
20240102,9.21,1158366.45,1075742.252,,,-0.14821048320786986
20240103,9.2,733610.31,673673.614,,,-0.10457611970241525
20240104,9.11,864193.99,787470.082,,,-0.09980581049841518
20240105,9.27,1991622.16,1852659.692,,,0.11925540778147935
20240108,9.15,1121156.19,1029006.549,,,-0.0757100288925591
20240109,9.18,766193.88,700375.72,,,0.0033030354741142324
20240110,9.09,858620.91,783771.15,,,-0.14041715021225598
20240111,9.17,934686.37,853890.237,,,0.08290433959303543
20240112,9.19,772582.15,711018.266,,,0.0023856512468257724
20240115,9.21,745132.66,685950.951,,0.002438570705527163,0.009085353614436879
20240116,9.34,1438312.58,1334465.409,,0.015679595588914533,0.05111599014803923
20240117,9.23,1482296.21,1380725.065,,0.00263677698216915,-0.05888702053326666
20240118,9.2,1755132.47,1597853.727,,0.0002290567090266774,-0.15269833511963057
20240119,9.17,963981.42,881865.024,,-0.00264731831923938,-0.06451944748594728
20240122,9.1,1580319.66,1449858.242,,-0.01011802014572337,-0.042567273743167815
20240123,9.16,1135544.58,1030898.421,,-0.002814628220289231,-0.044958525122328
20240124,9.33,1759123.16,1620099.272,,0.015537031033566748,0.13536342618839822
20240125,9.5,2162513.95,2037648.413,,0.03257150245737411,0.08054134904734342
20240126,9.62,2272287.06,2172799.799,,0.04345461459531561,0.003937526494080264
20240129,9.7,2376251.84,2312173.346,,0.04922445108839845,0.04714093685081034
20240130,9.5,1579122.14,1515156.604,0.03148751357220414,0.025880891177012772,-0.1023060523726136
20240131,9.46,1357217.47,1286857.397,0.02826086956521756,0.0199170513587677,-0.12969055010722141
20240201,9.41,1055259.87,993481.907,0.03293084522502743,0.012875347809957896,-0.09875275885660496
20240202,9.27,1634214.31,1520605.695,0.0,-0.0022076765615164718,-0.1498017055401078
20240205,9.38,1803591.9,1674566.499,0.025136612021857907,0.009053811821374097,-0.02910349349941943
20240206,9.68,1995409.54,1900324.218,0.05446623093681913,0.03918828442519247,0.02073865743959823
20240207,9.61,2062014.97,1975435.102,0.057205720572057084,0.029177250132406518,-0.09849990883217083
20240208,9.67,1656813.84,1593505.69,0.05452562704471098,0.032935209157114856,-0.009536450904782098
20240219,9.81,1605242.65,1564088.445,0.0674646354733408,0.04487357678971105,0.05546588593127807
20240220,9.82,1123563.98,1098987.813,0.0662323561346363,0.042742776039923484,0.03240563378817799
20240221,10.8,5055284.6,5295259.397,0.15631691648822277,0.13956428058330583,0.20711491345011906
20240222,10.9,4922325.12,5307736.374,0.18093174431202597,0.14127554010426172,-0.006597304346548366
20240223,10.85,3567479.5,3917316.282,0.17934782608695654,0.12498722044561182,-0.05061493741701529
20240226,10.53,2862608.88,3048205.025,0.14830970556161382,0.08338197150593572,-0.09761742424594425
20240227,10.5,1981904.92,2083027.074,0.15384615384615397,0.07292279330862975,-0.10015100363443744
20240228,10.49,3082692.65,3253340.358,0.14519650655021832,0.06388289634976782,-0.025425392443060642
20240229,10.59,1845344.23,1936020.983,0.135048231511254,0.06708939886295662,-0.0034403395783055425
20240301,10.49,1828102.9,1917689.307,0.10421052631578953,0.05135872869185809,-0.12943084897307344
20240304,10.33,1655929.54,1719562.862,0.07380457380457384,0.031074966180490854,-0.07129493687627321
20240305,10.43,1817319.07,1889144.33,0.07525773195876284,0.03761327329415288,0.02635980814668093
20240306,10.33,1345640.16,1396940.06,0.08736842105263154,0.023661177666897133,-0.08009747204634467
20240307,10.38,2016165.89,2109589.237,0.09725158562367864,0.023636446332526394,0.07138179858986328
20240308,10.38,1113974.28,1154491.251,0.10308182784272057,0.01886809064615343,-0.0655171525484526
20240311,10.47,1210672.98,1260212.02,0.12944983818770228,0.022161993598293434,0.008077238987995098
20240312,10.56,1641262.37,1721999.708,0.12579957356076754,0.024908385757326592,0.004336668712533029
20240313,10.33,1768039.11,1834654.994,0.06714876033057848,-0.0015488914804105778,-0.14633461454799015
20240314,10.23,1409399.73,1448499.698,0.06451612903225823,-0.014535363325846014,-0.08324477194356396
20240315,10.6,3750207.89,3973799.131,0.09617373319544975,0.01631804948537226,0.07550028490427821
20240318,10.54,1671396.51,1761249.15,0.07441386340468892,0.006733450901017993,-0.08347148530975429
20240319,10.4,1293215.58,1351069.63,0.05906313645621175,-0.00978872426404685,-0.20108158288148312
20240320,10.45,872663.16,910278.573,-0.03240740740740755,-0.0048212495810698594,0.011410034964883265
20240321,10.47,864466.25,905422.294,-0.03944954128440359,-0.0014463731112721416,0.00041099802726694693
20240322,10.36,1028141.74,1065535.606,-0.04516129032258065,-0.009022038089583434,-0.15807205296307802
20240325,10.4,953202.21,993304.12,-0.012345679012345623,-0.004111613548760696,0.02621654303624365
20240326,10.6,1740021.46,1835376.191,0.00952380952380949,0.014856501955735181,0.13134715791116464
20240327,10.53,1274135.99,1347397.15,0.0038131553860818457,0.008051255388880846,0.0025226769926562035
20240328,10.49,1302188.92,1362980.388,-0.009442870632672351,0.004339975999401779,-0.0996729177496101
20240329,10.52,872758.98,917332.316,0.0028598665395613843,0.007112618063269696,-0.03935827993510573
20240401,10.64,1191087.96,1261770.38,0.030009680542110395,0.017581854761886315,0.029999052002646236
20240402,10.55,1085458.26,1149700.8,0.011505273250239867,0.008026728045549191,-0.13727394732726708
20240403,10.46,981845.85,1028648.883,0.012584704743465736,-0.0010281015530035583,-0.1668616952734341
20240408,10.43,906360.52,945290.441,0.00481695568400764,-0.0037321741423112396,-0.08115805296984813
20240409,10.4,857156.73,891468.991,0.0019267822736031004,-0.006771316309111538,-0.04325745661752182
20240410,10.28,1246390.82,1288696.196,-0.018147086914995336,-0.017904484128234716,-0.1454197329176214
20240411,10.25,1010213.4,1030820.137,-0.029356060606060663,-0.01942183171486408,-0.018938139597445246
20240412,10.06,1305453.71,1322011.754,-0.02613746369796699,-0.036446431743679335,-0.13144784902235418
20240415,10.29,1453202.6,1486326.196,0.00586510263929596,-0.014183240202562394,0.04748056448789582
20240416,10.28,1478036.43,1523138.499,-0.030188679245283012,-0.01376623265813833,-0.035461647167913175
20240417,10.62,2232640.57,2337576.587,0.007590132827324458,0.01918279207456045,0.138732796767777
20240418,10.8,3165914.26,3427338.982,0.03846153846153855,0.034578661191342376,0.058324721012503654
20240419,10.69,1457675.02,1562376.147,0.022966507177033524,0.02263438078516872,-0.07768348259468599
20240422,10.5,2009818.37,2125722.741,0.002865329512893977,0.0039642427292488425,-0.1623179058648683
20240423,10.54,1240027.0,1308866.093,0.01737451737451745,0.0068673575983469156,0.02940776779702129
20240424,10.53,941567.74,989093.538,0.012499999999999956,0.005508433196814902,0.008689477004264678
20240425,10.61,1113812.24,1176304.525,0.0009433962264151496,0.013084464087830362,0.07748636789978226
20240426,10.6,1607627.51,1698581.437,0.006647673314339908,0.01217418866820588,-0.03662278559612069
20240429,10.81,2169177.37,2337350.884,0.030505243088655876,0.030708824168601545,0.07985143664271235
20240430,10.79,1324556.53,1431407.709,0.025665399239543696,0.02735224117378088,-0.08426489478370204
20240506,10.89,1784100.57,1953817.493,0.023496240601503793,0.035110173485774984,0.045253146019531294
20240507,10.88,1087056.65,1176786.413,0.03127962085308056,0.03301285347951681,-0.03093057672118433
20240508,10.73,1221791.27,1318612.0,0.02581261950286806,0.0172460646919232,0.0022493682141136494
20240509,10.76,1069460.63,1150726.858,0.03163950143815919,0.018495241657302524,0.08452303033387816
20240510,10.94,1767835.61,1923452.177,0.05192307692307674,0.03318632078457289,0.12804811588775167
20240513,10.97,1402498.6,1530058.92,0.06712062256809359,0.03323803754638203,0.00841971084499013
20240514,10.91,1075783.91,1176577.328,0.06439024390243908,0.0240520389695771,-0.1049206016015725
20240515,10.83,868296.6,942907.951,0.07654075546719685,0.013060549374966469,-0.07986495987046696
20240516,11.17,3076291.65,3410151.917,0.08551992225461613,0.04069184646104902,0.15999166174757812
20240517,11.42,2841748.85,3200736.554,0.1108949416342413,0.05925618201399818,0.05716227232737908
20240520,11.38,2170210.3,2475290.152,0.07156308851224114,0.050984975040593114,-0.025973573107521183
20240521,11.55,2030049.41,2336192.875,0.06944444444444442,0.06333485515912651,0.056762482377144215
20240522,11.56,2115531.38,2458448.97,0.08138447146866246,0.059851607718826125,0.0016550070702826998
20240523,11.4,1841622.9,2110799.282,0.08571428571428585,0.0409595615013204,-0.11474410720940942
20240524,11.31,1398275.84,1593330.336,0.07305502846299827,0.02879674061014094,-0.026026956049804484
20240527,11.51,1454361.43,1663272.118,0.09306742640075982,0.042571544541355484,0.09141190061630225
20240528,11.4,1204322.85,1377107.204,0.0744580584354384,0.028538193521673895,-0.12973444702019613
20240529,11.26,1444811.11,1635445.613,0.062264150943396324,0.012464704654431988,-0.10189889826850239
20240530,11.12,1325496.35,1481608.711,0.028677150786308836,-0.0019296553190403846,-0.12019187916695678
20240531,11.11,826706.76,921248.146,0.029657089898053712,-0.004332548833853668,0.03295802144393578
20240603,10.98,1326696.75,1456086.024,0.008264462809917328,-0.016088833467822965,-0.05995087040473723
20240604,11.02,981004.95,1079356.561,0.012867647058823373,-0.013287502583693309,-0.04127597807094297
20240605,10.87,1018967.75,1114155.999,0.013047530288909481,-0.027335354688450043,-0.12395544743349304
20240606,10.9,1049331.53,1145989.426,0.013011152416356975,-0.025354093121881582,0.044120191779538846
20240607,10.99,1170126.04,1281662.986,0.004570383912248621,-0.017626907298327152,0.04866326429068984
20240611,10.87,1337628.54,1452841.957,-0.00911577028258903,-0.02814411172311276,-0.034799736654001844
20240612,10.88,957426.35,1037927.497,-0.00274977085242889,-0.02683186889415053,0.019947836595735412
20240613,10.8,1203507.79,1304403.407,-0.0027700831024930483,-0.03389705060911976,-0.1014095190367449
20240614,10.18,1637990.47,1657433.955,-0.08863025962399285,-0.08540457801962661,-0.04326043501080654
20240617,10.1,681217.02,688669.914,-0.1155866900175132,-0.08786412533145448,-0.11815313920574845
20240618,10.08,700653.08,707829.472,-0.11423550087873469,-0.0842810990775259,-0.0640563330834081
20240619,10.15,796184.18,807676.192,-0.12121212121212122,-0.07217464786218013,-0.024743848063364125
20240620,10.05,629627.57,635070.262,-0.13062283737024216,-0.0748270093201112,-0.0728516040791172
20240621,10.0,830545.28,831176.895,-0.1228070175438597,-0.0732273019891664,-0.20920911813981827
20240624,9.98,947081.54,944907.466,-0.1175950486295314,-0.06896352144430966,-0.13149885075534157
20240625,10.08,769992.81,775332.072,-0.12423979148566466,-0.05359943639084882,0.020725338136615843
20240626,10.08,628598.71,633763.882,-0.11578947368421055,-0.04755197382874493,0.009631601789560408
20240627,10.13,928881.97,938954.398,-0.10035523978685601,-0.037319715339940336,0.05250420056875602
20240628,10.15,918089.92,933947.813,-0.08723021582733803,-0.030790535296234607,0.015767140632370745
20240701,10.35,1343051.49,1372549.62,-0.06840684068406844,-0.007313715084935026,0.14839567045636812
20240702,10.4,1384385.7,1440864.391,-0.05282331511839711,0.0002029809444131335,0.007685807199062935
20240703,10.31,713067.46,737326.421,-0.06442831215970957,-0.0052844118119873724,-0.06758041122287085
20240704,10.26,735044.24,757464.387,-0.05611775528978835,-0.007094957754026306,-0.1096307264721115
20240705,9.97,1713353.86,1721256.576,-0.08532110091743117,-0.031057074763421556,-0.25544002293848656
20240708,9.93,868659.62,864791.776,-0.09645131938125573,-0.030242866904324654,-0.1216263259627753
20240709,10.07,1032485.3,1034316.511,-0.07359705611775524,-0.012502841243824907,-0.04964913682199971
20240710,10.14,873865.11,886626.727,-0.06801470588235292,-0.0022394638543229636,-0.12360075309160351
20240711,10.13,721392.25,731789.332,-0.062037037037037,0.0001927238601372423,-0.12838115831448288
20240712,10.31,1214163.69,1246877.666,0.012770137524558134,0.01720820957752207,0.10634603479845084
20240715,10.33,869412.47,896975.833,0.022772277227722793,0.01813862018501348,-0.029111124170782064
20240716,10.3,943008.11,971564.895,0.02182539682539697,0.014180180429528962,-0.11691399368095694
20240717,10.4,1220168.35,1266412.58,0.024630541871921263,0.0228449176843249,-0.02700184863040135
20240718,10.41,1087061.02,1127365.071,0.035820895522387985,0.022398962080300903,-0.07792374186959726
20240719,10.37,898723.24,929722.662,0.03699999999999992,0.016786154475579355,-0.11431497084699697
20240722,10.23,994480.87,1018663.806,0.025050100200400882,0.0017520679497846619,-0.08490860036525884
20240723,10.18,1020153.63,1046994.471,0.009920634920634885,-0.004088900010655797,-0.03002827330819396
20240724,10.13,724517.57,736332.832,0.004960317460317443,-0.009372461357551216,-0.053628357152658845
20240725,10.09,856404.43,861750.366,-0.003948667324777944,-0.013062074741554817,-0.1076790748315644
20240726,10.03,929551.95,931879.546,-0.011822660098522286,-0.018221755311280036,-0.09852251078667931
20240729,10.11,781552.43,788019.059,-0.023188405797101463,-0.00972754956577894,0.04735363466465656
20240730,10.08,613267.95,618056.61,-0.03076923076923077,-0.01106831696021602,-0.1629505186999853
20240731,10.27,1096906.34,1117768.675,-0.0038797284190107417,0.008314255694525395,0.04807896758033678
20240801,10.27,733883.77,752688.22,0.0009746588693957392,0.00855579488539636,-0.10722743063358821
20240802,10.14,590228.76,601173.371,0.01705115346038122,-0.004891407854381014,-0.05102385614302279
20240805,10.05,758978.52,768980.625,0.012084592145015227,-0.014576250229346666,-0.167469748341809
20240806,9.93,1265536.91,1261997.757,-0.013902681231380387,-0.02612430047378792,-0.2315804644599659
20240807,9.93,517608.42,514848.813,-0.02071005917159774,-0.025171348399160996,-0.0984248205181827
20240808,9.94,500410.67,497548.149,-0.01875616979269512,-0.023224376398192366,0.008699487318765652
20240809,10.04,730273.96,732886.456,-0.026188166828322146,-0.012263673758556453,0.06291003029345621
20240812,10.01,353013.46,353251.351,-0.030977734753146247,-0.013709657491548151,-0.019813391181946242
20240813,9.95,622077.2,620061.492,-0.03398058252427194,-0.01799969859875582,-0.16438854087004023
20240814,9.92,436380.38,433380.447,-0.04615384615384621,-0.018792551181497735,-0.0684131814555092
20240815,10.03,776247.47,775851.461,-0.036503362151777186,-0.006064630157241331,0.06252180604630704
20240816,10.13,1260367.61,1277042.001,-0.02314368370298925,0.004903700221819461,0.019142640244016525
20240819,10.29,1482985.26,1520594.688,0.00586510263929596,0.02072299247705309,-0.011590412742813404
20240820,10.34,1569186.65,1623147.686,0.015717092337917515,0.025272032244737754,-0.020649768384272044
20240821,10.35,1034887.81,1068207.868,0.021717670286278246,0.025455793630101725,-0.10883277086217769
20240822,10.38,1109030.39,1153871.816,0.0287413280475719,0.026689153506028088,-0.0349522620173234
20240823,10.47,1071905.71,1117475.768,0.04386839481555338,0.03354604874324539,0.042739217964226354
20240826,10.49,740675.24,775921.849,0.03758654797230476,0.03351492283167778,-0.0455871425498891
20240827,10.43,723136.58,755583.764,0.0347222222222221,0.025730789030949105,-0.11375270072769528
20240828,10.33,942547.54,973872.155,0.0058422590068161195,0.015186777270519898,-0.08914442012435306
20240829,10.13,1197676.31,1221351.092,-0.013631937682570427,-0.004181794929759808,-0.06590303362128697
20240830,10.16,1294059.08,1318858.688,0.0019723865877712132,-0.0012631735490178692,0.08026816465380439
20240902,10.11,968835.5,983898.751,0.005970149253731183,-0.006293941696311576,-0.025202088772639693
20240903,10.08,916581.22,920884.663,0.015105740181268867,-0.009607262922387278,-0.10420039320822917
20240904,10.02,847992.33,852224.67,0.009063444108761365,-0.01600145137581737,-0.027634018137270993
20240905,10.07,594208.76,595845.843,0.01307847082494984,-0.011502649181946876,0.021545222581079868
20240906,10.08,878865.43,891507.834,0.003984063745019917,-0.011045610018643487,0.029187013177884504
20240909,9.85,1639174.51,1624857.668,-0.015984015984015998,-0.03316482842698019,-0.1698716652486382
20240910,9.9,767901.14,756124.764,-0.005025125628140614,-0.027679844444324374,-0.017519263395166355
20240911,9.65,1108727.04,1078602.468,-0.027217741935483875,-0.05128783176276856,-0.21577389727466723
20240912,9.74,581834.05,564923.216,-0.02891326021934193,-0.04109379020634918,0.025660334359680688
20240913,9.7,566461.9,553269.704,-0.04244817374136245,-0.043312031052892615,-0.094407910997294
20240918,9.77,443610.99,431665.627,-0.05053449951409128,-0.03391702354961446,-0.09743613332060157
20240919,9.81,684293.11,669341.182,-0.05125725338491294,-0.027257023553276402,0.02390464323259097
20240920,9.9,797297.14,785121.199,-0.04347826086956519,-0.016017032819279735,0.02242834433627793
20240923,10.04,896907.55,897428.03,-0.032755298651252596,-0.00012183957848929798,0.041597340222347755
20240924,10.37,1638213.19,1678174.482,-0.009551098376313405,0.03367534175742792,0.0473787313655153
20240925,10.5,2160693.98,2285995.369,0.0009532888465204614,0.04609122397867827,-0.05446152551299307
20240926,11.15,3086457.2,3341759.456,0.06903163950143831,0.10875891040702308,0.07849894402099657
20240927,11.42,3840016.37,4337985.143,0.10551790900290414,0.13018824646207416,0.003960879608407714
20240930,12.21,5430283.64,6467438.838,0.20533070088845018,0.19821885415236923,0.0015118356857738225
20241008,12.88,5888977.78,7602664.024,0.26771653543307083,0.24733169215517542,-0.038495884022048
20241009,11.68,4269345.06,5172049.702,0.1552917903066271,0.12049247614190561,-0.0952659088867812
20241010,11.98,3426421.68,4095573.501,0.1884920634920635,0.13886054335857317,0.03274246124153807
